Katy Perry,This Is How We Do,2014,Dance Pop,204
Katy Perry,Birthday,2014,Dance Pop,215
Katy Perry,Legendary Lovers,2015,Dance Pop,224
Katy Perry,Rise,2016,Dance Pop,203
Katy Perry,Swish Swish,2017,Dance Pop,243
Katy Perry,Chained To The Rhythm,2017,Dance Pop,238
Katy Perry,Bon app閠it,2017,Dance Pop,228
Kelly Clarkson,Stronger (What Doesn't Kill You),2012,Dance Pop,222
Kelly Clarkson,Underneath the Tree,2013,Dance Pop,230
Kelly Clarkson,People Like Us,2013,Dance Pop,259
Kelly Clarkson,Heartbeat Song,2015,Dance Pop,199
Kelly Clarkson,Run Run Run,2015,Dance Pop,273
Kelly Rowland,Freak,2013,Atl Hip Hop,274
Kesha,TiK ToK,2010,Dance Pop,200
Kesha,Your Love Is My Drug,2010,Dance Pop,187
Kesha,Take It Off,2010,Dance Pop,215
Kesha,Blah Blah Blah (feat. 3OH!3),2010,Dance Pop,172
Kesha,We R Who We R,2011,Dance Pop,205
Kesha,Blow,2011,Dance Pop,220
Kesha,Die Young,2013,Dance Pop,212
Kesha,Crazy Kids (feat. will.i.am),2013,Dance Pop,229
Kesha,Praying,2017,Dance Pop,230
Khalid,Talk (feat. Disclosure),2019,Alternative R&B,198
Kygo,It Ain't Me (with Selena Gomez),2017,Edm,221
Kygo,First Time,2017,Edm,194
Kygo,First Time,2018,Edm,194
Kygo,Higher Love,2019,Edm,228
Labrinth,Beneath Your Beautiful,2013,Pop,272
Lady Gaga,Bad Romance,2010,Dance Pop,295
Lady Gaga,Telephone,2010,Dance Pop,221
Lady Gaga,Alejandro,2010,Dance Pop,274
Lady Gaga,Born This Way,2011,Dance Pop,260
Lady Gaga,The Edge Of Glory,2011,Dance Pop,321
Lady Gaga,You And I,2011,Dance Pop,307
Lady Gaga,Judas,2011,Dance Pop,249
Lady Gaga,Marry The Night,2011,Dance Pop,265
Lady Gaga,Applause,2013,Dance Pop,212
Lady Gaga,G.U.Y.,2014,Dance Pop,233
Lady Gaga,Million Reasons,2016,Dance Pop,205
Lady Gaga,Perfect Illusion,2016,Dance Pop,182
Lady Gaga,The Cure,2017,Dance Pop,211
Lady Gaga,Shallow - Radio Edit,2018,Dance Pop,217
Lana Del Rey,Summertime Sadness (Lana Del Rey Vs. Cedric Gervais) - Cedric Gervais Remix,2013,Art Pop,215
Lana Del Rey,Love,2017,Art Pop,273
Lana Del Rey,Summer Bummer (feat. A$AP Rocky & Playboi Carti),2017,Art Pop,261
Lana Del Rey,Lust for Life (with The Weeknd),2017,Art Pop,264
Lea Michele,Cannonball,2014,Hollywood,215
Lewis Capaldi,Someone You Loved,2019,Pop,182
Liam Payne,Strip That Down (feat. Quavo),2017,Dance Pop,202
Liam Payne,Familiar,2018,Dance Pop,197
Liam Payne,For You (With Rita Ora),2018,Dance Pop,243
Lilly Wood and The Prick,Prayer in C - Robin Schulz Radio Edit,2015,French Indie Pop,189
Lily Allen,Sheezus,2014,Dance Pop,235
Little Mix,Move,2013,Dance Pop,224
Little Mix,How Ya Doin'? (feat. Missy Elliott),2013,Dance Pop,211
Little Mix,Love Me Like You,2015,Dance Pop,198
Little Mix,Shout Out to My Ex,2016,Dance Pop,246
Little Mix,Touch (feat. Kid Ink),2017,Dance Pop,203
Lizzo,Truth Hurts,2019,Escape Room,173
Lizzo,Good as Hell (feat. Ariana Grande) - Remix,2019,Escape Room,159
LMFAO,Party Rock Anthem,2011,Dance Pop,262
LMFAO,Sexy And I Know It,2011,Dance Pop,199
Lorde,Team,2014,Art Pop,193
Lost Frequencies,Reality - Radio Edit,2015,Belgian Edm,159
Lost Frequencies,Reality (feat. Janieck Devy) - Radio Edit,2017,Belgian Edm,158
Luis Fonsi,Despacito - Remix,2017,Latin,229
Lukas Graham,7 Years,2016,Danish Pop,237
M0,Final Song,2016,Dance Pop,236
Mabel,Don't Call Me Up,2019,Dance Pop,178
Macklemore & Ryan Lewis,Can't Hold Us (feat. Ray Dalton),2013,Dance Pop,258
Macklemore & Ryan Lewis,Thrift Shop (feat. Wanz),2013,Dance Pop,236
Madonna,Ghosttown,2015,Dance Pop,250
Madonna,Living For Love,2015,Dance Pop,219
MAGIC!,Rude,2014,Pop,225
Major Lazer,Cold Water (feat. Justin Bieber & M?,2016,Dance Pop,185
Major Lazer,Light It Up (feat. Nyla & Fuse ODG) [Remix],2016,Dance Pop,166
Mariah Carey,#Beautiful,2013,Dance Pop,200
Mariah Carey,You're Mine (Eternal),2014,Dance Pop,224
Mark Ronson,Uptown Funk,2015,Dance Pop,270
Mark Ronson,Find U Again (feat. Camila Cabello),2019,Dance Pop,176
